index,word,emoji1,emoji2,description
529,dragon,🐉,🐉,Dragon and Dragon evoke the core meaning or feeling behind 'dragon'
530,drama,🎭,🎭,Performing Arts and Performing Arts evoke the core meaning or feeling behind 'drama'
531,drastic,❗,⚡,Heavy Exclamation Mark and High Voltage Sign evoke the core meaning or feeling behind 'drastic'
532,draw,✏,🖼,Pencil and Frame with Picture evoke the core meaning or feeling behind 'draw'
533,dream,😴,💭,Sleeping Face and Thought Balloon evoke the core meaning or feeling behind 'dream'
534,dress,👗,👗,Dress and Dress evoke the core meaning or feeling behind 'dress'
535,drift,🌊,💨,Water Wave plus Dash Symbol form a recognizable group, reinforcing the idea of 'drift'
536,drill,🛠,🌀,Hammer and Wrench plus Cyclone form a recognizable group, reinforcing the idea of 'drill'
537,drink,😋,🧃,Face Savouring Delicious and Beverage Box evoke the core meaning or feeling behind 'drink'
538,drip,💧,💧,Droplet plus Droplet form a recognizable group, reinforcing the idea of 'drip'
539,drive,🚗,🛣,Automobile and Motorway evoke the core meaning or feeling behind 'drive'
540,drop,💧,⬇,Droplet with Downwards Black Arrow together illustrate movement or relation, pointing to 'drop'
541,drum,🥁,🥁,Drum with Drumsticks and Drum with Drumsticks evoke the core meaning or feeling behind 'drum'
542,dry,🌵,☀,Cactus plus Black Sun with form a recognizable group, reinforcing the idea of 'dry'
543,duck,🦆,🦆,Duck and Duck evoke the core meaning or feeling behind 'duck'
544,dumb,🤐,🤔,Zipper-mouth Face and Thinking Face evoke the core meaning or feeling behind 'dumb'
545,dune,🏜,⛰,Desert and Mountain evoke the core meaning or feeling behind 'dune'
546,during,⏳,📅,Hourglass with Flowing and Calendar evoke the core meaning or feeling behind 'during'
547,dust,🧹,🌫,Broom and Fog evoke the core meaning or feeling behind 'dust'
548,dutch,🧀,🇳,Cheese Wedge plus Regional Indicator Symbol form a recognizable group, reinforcing the idea of 'dutch'
549,duty,📜,🛡,Scroll and Shield evoke the core meaning or feeling behind 'duty'
550,dwarf,🪓,🧙,Axe and Mage evoke the core meaning or feeling behind 'dwarf'
551,dynamic,🔄,⚡,Anticlockwise Downwards and with High Voltage Sign together illustrate movement or relation, pointing to 'dynamic'
552,eager,🤩,🔥,Grinning Face with plus Fire form a recognizable group, reinforcing the idea of 'eager'
553,eagle,🦅,🦅,Eagle and Eagle evoke the core meaning or feeling behind 'eagle'
554,early,⏰,🌅,Alarm Clock plus Sunrise form a recognizable group, reinforcing the idea of 'early'
555,earn,💰,🏦,Money Bag and Bank evoke the core meaning or feeling behind 'earn'
556,earth,🌍,🌍,Earth Globe Europe-africa and Earth Globe Europe-africa evoke the core meaning or feeling behind 'earth'
557,easily,😊,👌,Smiling Face with and Ok Hand Sign evoke the core meaning or feeling behind 'easily'
558,east,🧭,➡,Compass with Black Rightwards Arrow together illustrate movement or relation, pointing to 'east'
559,easy,🍬,👶,Candy and Baby evoke the core meaning or feeling behind 'easy'
560,echo,📢,🔊,Public Address Loudspeaker and Speaker with Three hint at sound or naming cues associated with 'echo'
561,ecology,🌱,🌍,Seedling and Earth Globe Europe-africa evoke the core meaning or feeling behind 'ecology'
562,economy,📈,📊,Chart with Upwards with Bar Chart together illustrate movement or relation, pointing to 'economy'
563,edge,📐,⛰,Triangular Ruler and Mountain evoke the core meaning or feeling behind 'edge'
564,edit,✏,💻,Pencil and Personal Computer evoke the core meaning or feeling behind 'edit'
565,educate,🎓,🏫,Graduation Cap and School evoke the core meaning or feeling behind 'educate'
566,effort,💪,🔥,Flexed Biceps plus Fire form a recognizable group, reinforcing the idea of 'effort'
567,egg,🥚,🥚,Egg and Egg evoke the core meaning or feeling behind 'egg'
568,eight,🎱,🕗,Billiards plus Clock Face Eight form a recognizable group, reinforcing the idea of 'eight'
569,either,↔,🤷,Left Right Arrow with Shrug together illustrate movement or relation, pointing to 'either'
570,elbow,💪,🦴,Flexed Biceps and Bone evoke the core meaning or feeling behind 'elbow'
571,elder,👴,📿,Older Man and Prayer Beads evoke the core meaning or feeling behind 'elder'
572,electric,⚡,🔌,High Voltage Sign and Electric Plug evoke the core meaning or feeling behind 'electric'
573,elegant,👠,✨,High-heeled Shoe and Sparkles evoke the core meaning or feeling behind 'elegant'
574,element,🧪,🌡,Test Tube and Thermometer evoke the core meaning or feeling behind 'element'
575,elephant,🐘,🐘,Elephant and Elephant evoke the core meaning or feeling behind 'elephant'
576,elevator,🛗,🛗,Elevator and Elevator evoke the core meaning or feeling behind 'elevator'
577,elite,👑,🌟,Crown and Glowing Star evoke the core meaning or feeling behind 'elite'
578,else,🔀,🤔,Twisted Rightwards Arrows with Thinking Face together illustrate movement or relation, pointing to 'else'
579,embark,🚢,➡,Ship with Black Rightwards Arrow together illustrate movement or relation, pointing to 'embark'
580,embody,🧍,💡,Standing Person and Electric Light Bulb evoke the core meaning or feeling behind 'embody'
581,embrace,🤗,❤,Hugging Face and Heavy Black Heart evoke the core meaning or feeling behind 'embrace'
582,emerge,🌱,⬆,Seedling with Upwards Black Arrow together illustrate movement or relation, pointing to 'emerge'
583,emotion,❤,😭,Heavy Black Heart and Loudly Crying Face evoke the core meaning or feeling behind 'emotion'
584,employ,💼,👨,Briefcase and Man evoke the core meaning or feeling behind 'employ'
585,empower,⚪,🕳,Medium White Circle and Hole evoke the core meaning or feeling behind 'empower'
586,empty,🪹,🪹,Empty Nest and Empty Nest evoke the core meaning or feeling behind 'empty'
587,enable,👥,⚡,Busts in Silhouette and High Voltage Sign evoke the core meaning or feeling behind 'enable'
588,enact,👍,💬,Thumbs Up Sign with Speech Balloon together illustrate movement or relation, pointing to 'enact'
589,end,🛑,🏁,Octagonal Sign and Chequered Flag evoke the core meaning or feeling behind 'end'
590,endless,♾,🌌,Permanent Paper Sign and Milky Way evoke the core meaning or feeling behind 'endless'
591,endorse,✍,📜,Writing Hand and Scroll evoke the core meaning or feeling behind 'endorse'
592,enemy,⚔,😠,Crossed Swords with Angry Face together illustrate movement or relation, pointing to 'enemy'
593,energy,⚡,💪,High Voltage Sign and Flexed Biceps evoke the core meaning or feeling behind 'energy'
594,enforce,👮,⚖,Police Officer and Scales evoke the core meaning or feeling behind 'enforce'
595,engage,💍,🗣,Ring and Speaking Head in evoke the core meaning or feeling behind 'engage'
596,engine,⚙,🚂,Gear plus Steam Locomotive form a recognizable group, reinforcing the idea of 'engine'
597,enhance,📈,✨,Chart with Upwards with Sparkles together illustrate movement or relation, pointing to 'enhance'
598,enjoy,🥗,😋,Green Salad and Face Savouring Delicious evoke the core meaning or feeling behind 'enjoy'
599,enlist,🪖,✍,Military Helmet and Writing Hand evoke the core meaning or feeling behind 'enlist'
600,enough,⚖️,🈵,Scales and Squared Cjk Unified evoke the core meaning or feeling behind 'enough'
601,enrich,💎,📈,Gem Stone with Chart with Upwards together illustrate movement or relation, pointing to 'enrich'
602,enroll,🏫,📝,School and Memo evoke the core meaning or feeling behind 'enroll'
603,ensure,🧠,🔒,Brain plus Lock form a recognizable group, reinforcing the idea of 'ensure'
604,enter,🚪,➡,Door with Black Rightwards Arrow together illustrate movement or relation, pointing to 'enter'
605,entire,🌐,💯,Globe with Meridians and Hundred Points Symbol evoke the core meaning or feeling behind 'entire'
606,entry,🚪,🚶,Door and Pedestrian evoke the core meaning or feeling behind 'entry'
607,envelope,✉️,✉️,Envelope and Envelope evoke the core meaning or feeling behind 'envelope'
608,episode,🎬,📺,Clapper Board and Television evoke the core meaning or feeling behind 'episode'
609,equal,🟰,🟰,Heavy Equals Sign and Heavy Equals Sign evoke the core meaning or feeling behind 'equal'
610,equip,🧰,🎒,Toolbox plus School Satchel form a recognizable group, reinforcing the idea of 'equip'
611,era,⚾️,🗿,Baseball and Moyai evoke the core meaning or feeling behind 'era'
612,erase,🩹,✏,Adhesive Bandage and Pencil evoke the core meaning or feeling behind 'erase'
613,erode,🌊,🪨,Water Wave plus Rock form a recognizable group, reinforcing the idea of 'erode'
614,erosion,🌧,⛰,Cloud with Rain plus Mountain form a recognizable group, reinforcing the idea of 'erosion'
615,error,❌,💻,Cross Mark with Personal Computer together illustrate movement or relation, pointing to 'error'
616,erupt,🌋,🔥,Volcano plus Fire form a recognizable group, reinforcing the idea of 'erupt'
617,escape,🏃,🚪,Runner and Door evoke the core meaning or feeling behind 'escape'
618,essay,📄,🖊,Page Facing Up with Lower Left Ballpoint together illustrate movement or relation, pointing to 'essay'
619,essence,🌸,💨,Cherry Blossom and Dash Symbol evoke the core meaning or feeling behind 'essence'
620,estate,🏡,📜,House with Garden and Scroll evoke the core meaning or feeling behind 'estate'
621,eternal,♾,🕊,Permanent Paper Sign and Dove of Peace evoke the core meaning or feeling behind 'eternal'
622,ethics,⚖,📚,Scales plus Books form a recognizable group, reinforcing the idea of 'ethics'
623,evidence,📜,🔍,Scroll with Left-pointing Magnifying Glass together illustrate movement or relation, pointing to 'evidence'
624,evil,😈,🔥,Smiling Face with plus Fire form a recognizable group, reinforcing the idea of 'evil'
625,evoke,🗣,💭,Speaking Head in and Thought Balloon evoke the core meaning or feeling behind 'evoke'
626,evolve,🐒,🧑,Monkey plus Adult form a recognizable group, reinforcing the idea of 'evolve'
627,exact,🎯,📏,Direct Hit and Straight Ruler evoke the core meaning or feeling behind 'exact'
628,example,📖,👆,Open Book with White Up Pointing together illustrate movement or relation, pointing to 'example'
629,excess,➕,📈,Heavy Plus Sign with Chart with Upwards together illustrate movement or relation, pointing to 'excess'
630,exchange,🔄,🤝,Anticlockwise Downwards and with Handshake together illustrate movement or relation, pointing to 'exchange'
631,excite,🤩,⚡,Grinning Face with and High Voltage Sign evoke the core meaning or feeling behind 'excite'
632,exclude,🚫,🚪,No Entry Sign and Door evoke the core meaning or feeling behind 'exclude'
633,excuse,🙏,📝,Person with Folded and Memo evoke the core meaning or feeling behind 'excuse'
634,execute,🤝,👔,Handshake and Necktie evoke the core meaning or feeling behind 'execute'
635,exercise,🏋️,🏃,Weight Lifter and Runner evoke the core meaning or feeling behind 'exercise'
636,exhaust,😩,💨,Weary Face and Dash Symbol evoke the core meaning or feeling behind 'exhaust'
637,exhibit,🖼,🪘,Frame with Picture and Long Drum evoke the core meaning or feeling behind 'exhibit'
638,exile,🚷,🌍,No Pedestrians and Earth Globe Europe-africa evoke the core meaning or feeling behind 'exile'
639,exist,🌐,🙋,Globe with Meridians and Happy Person Raising evoke the core meaning or feeling behind 'exist'
640,exit,🚪,⬅,Door with Leftwards Black Arrow together illustrate movement or relation, pointing to 'exit'
641,exotic,🌴,🦜,Palm Tree plus Parrot form a recognizable group, reinforcing the idea of 'exotic'
642,expand,⬆,📈,Upwards Black Arrow with Chart with Upwards together illustrate movement or relation, pointing to 'expand'
643,expect,👀,⏳,Eyes and Hourglass with Flowing evoke the core meaning or feeling behind 'expect'
644,expire,⏰,💀,Alarm Clock plus Skull form a recognizable group, reinforcing the idea of 'expire'
645,explain,🗣,📖,Speaking Head in plus Open Book form a recognizable group, reinforcing the idea of 'explain'
646,expose,📸,😮,Camera with Flash and Face with Open evoke the core meaning or feeling behind 'expose'
647,express,🗣️,💬,Speaking Head in and Speech Balloon evoke the core meaning or feeling behind 'express'
648,extend,📏,🎯,Straight Ruler and Direct Hit evoke the core meaning or feeling behind 'extend'
649,extra,➕,🌟,Heavy Plus Sign and Glowing Star evoke the core meaning or feeling behind 'extra'
650,eye,👁,👁,Eye and Eye evoke the core meaning or feeling behind 'eye'
651,eyebrow,👁,〰,Eye and Wavy Dash evoke the core meaning or feeling behind 'eyebrow'
652,fabric,🧵,🪡,Spool of Thread and Sewing Needle evoke the core meaning or feeling behind 'fabric'
653,face,🙂,🙂,Slightly Smiling Face and Slightly Smiling Face evoke the core meaning or feeling behind 'face'
654,faculty,🧠,🏛,Brain plus Classical Building form a recognizable group, reinforcing the idea of 'faculty'
655,fade,🌫,⬇,Fog with Downwards Black Arrow together illustrate movement or relation, pointing to 'fade'
656,faint,😵,💫,Dizzy Face and Dizzy Symbol evoke the core meaning or feeling behind 'faint'
657,faith,🌈,🕋,Rainbow plus Kaaba form a recognizable group, reinforcing the idea of 'faith'
658,fall,🍂,⬇,Fallen Leaf with Downwards Black Arrow together illustrate movement or relation, pointing to 'fall'
659,false,❌,🤥,Cross Mark with Lying Face together illustrate movement or relation, pointing to 'false'
660,fame,🌟,📣,Glowing Star and Cheering Megaphone hint at sound or naming cues associated with 'fame'
661,family,🏠,👬,House Building and Two Men Holding evoke the core meaning or feeling behind 'family'
662,famous,🌟,📸,Glowing Star and Camera with Flash evoke the core meaning or feeling behind 'famous'
663,fan,🌀,🪭,Cyclone and Symbol evoke the core meaning or feeling behind 'fan'
664,fancy,👑,🎀,Crown and Ribbon evoke the core meaning or feeling behind 'fancy'
665,fantasy,🧚,🐉,Fairy and Dragon evoke the core meaning or feeling behind 'fantasy'
666,farm,🚜,🌾,Tractor and Ear of Rice evoke the core meaning or feeling behind 'farm'
667,fashion,👗,👖,Dress and Jeans evoke the core meaning or feeling behind 'fashion'
668,fat,🥓,🍔,Bacon and Hamburger evoke the core meaning or feeling behind 'fat'
669,fatal,☠,⚰,Skull and Crossbones with Coffin together illustrate movement or relation, pointing to 'fatal'
670,father,👨,👔,Man and Necktie evoke the core meaning or feeling behind 'father'
671,fatigue,😴,😩,Sleeping Face and Weary Face evoke the core meaning or feeling behind 'fatigue'
672,fault,⚡,⛰,High Voltage Sign and Mountain evoke the core meaning or feeling behind 'fault'
673,favorite,⭐,❤,White Medium Star and Heavy Black Heart evoke the core meaning or feeling behind 'favorite'
674,feature,🔍,📱,Left-pointing Magnifying Glass with Mobile Phone together illustrate movement or relation, pointing to 'feature'
675,february,❄,💘,Snowflake with Heart with Arrow together illustrate movement or relation, pointing to 'february'
676,federal,🏛,🦅,Classical Building and Eagle evoke the core meaning or feeling behind 'federal'
677,fee,💵,🧾,Banknote with Dollar and Receipt hint at sound or naming cues associated with 'fee'
678,feed,🍽,🐄,Fork and Knife plus Cow form a recognizable group, reinforcing the idea of 'feed'
679,feel,🤲,💓,Palms Up Together with Beating Heart together illustrate movement or relation, pointing to 'feel'
680,female,🚺,👩,Womens Symbol and Woman evoke the core meaning or feeling behind 'female'
681,fence,🚧,🌳,Construction Sign plus Deciduous Tree form a recognizable group, reinforcing the idea of 'fence'
682,festival,🎉,🥁,Party Popper and Drum with Drumsticks evoke the core meaning or feeling behind 'festival'
683,fetch,🐕,🎾,Dog plus Tennis Racquet and form a recognizable group, reinforcing the idea of 'fetch'
684,fever,🤒,🌡,Face with Thermometer and Thermometer evoke the core meaning or feeling behind 'fever'
685,few,👐,🔢,Open Hands Sign and Input Symbol For evoke the core meaning or feeling behind 'few'
686,fiber,🫘,🥦,Beans and Broccoli evoke the core meaning or feeling behind 'fiber'
687,fiction,📚,🛸,Books plus Flying Saucer form a recognizable group, reinforcing the idea of 'fiction'
688,field,🌾,⚽,Ear of Rice and Soccer Ball evoke the core meaning or feeling behind 'field'
689,figure,👤,📏,Bust in Silhouette and Straight Ruler evoke the core meaning or feeling behind 'figure'
690,file,📂,🖥,Open File Folder and Desktop Computer evoke the core meaning or feeling behind 'file'
691,film,🎥,🎞,Movie Camera and Film Frames evoke the core meaning or feeling behind 'film'
692,filter,🌊,⛲️,Water Wave plus Fountain form a recognizable group, reinforcing the idea of 'filter'
693,final,🏁,✅,Chequered Flag and White Heavy Check evoke the core meaning or feeling behind 'final'
694,find,🔍,👆,Left-pointing Magnifying Glass with White Up Pointing together illustrate movement or relation, pointing to 'find'
695,fine,💰,⚖,Money Bag and Scales evoke the core meaning or feeling behind 'fine'
696,finger,👉,🖐,White Right Pointing with Raised Hand with together illustrate movement or relation, pointing to 'finger'
697,finish,🏁,🎉,Chequered Flag and Party Popper evoke the core meaning or feeling behind 'finish'
698,fire,🔥,🔥,Fire plus Fire form a recognizable group, reinforcing the idea of 'fire'
699,firm,🏢,💼,Office Building and Briefcase evoke the core meaning or feeling behind 'firm'
700,first,🥇,🏆,First Place Medal and Trophy evoke the core meaning or feeling behind 'first'
701,fiscal,💰,📊,Money Bag and Bar Chart evoke the core meaning or feeling behind 'fiscal'
702,fish,🐟,🐟,Fish plus Fish form a recognizable group, reinforcing the idea of 'fish'
703,fit,🧩,💪,Jigsaw Puzzle Piece and Flexed Biceps evoke the core meaning or feeling behind 'fit'
704,fitness,🏋,💪,Weight Lifter and Flexed Biceps evoke the core meaning or feeling behind 'fitness'
705,fix,🛠,🔧,Hammer and Wrench plus Wrench form a recognizable group, reinforcing the idea of 'fix'
706,flag,🚩,🚩,Triangular Flag on and Triangular Flag on evoke the core meaning or feeling behind 'flag'
707,flame,🔥,💨,Fire plus Dash Symbol form a recognizable group, reinforcing the idea of 'flame'
708,flash,⚡,📸,High Voltage Sign and Camera with Flash evoke the core meaning or feeling behind 'flash'
709,flat,➖,🏠,Heavy Minus Sign and House Building evoke the core meaning or feeling behind 'flat'
710,flavor,🍦,🍓,Soft Ice Cream and Strawberry evoke the core meaning or feeling behind 'flavor'
711,flee,🏃,🚨,Runner and Police Cars Revolving evoke the core meaning or feeling behind 'flee'
712,flight,🛫,🛬,Airplane Departure and Airplane Arriving evoke the core meaning or feeling behind 'flight'
713,flip,🔄,📖,Anticlockwise Downwards and with Open Book together illustrate movement or relation, pointing to 'flip'
714,float,🛟,🌊,Ring Buoy plus Water Wave form a recognizable group, reinforcing the idea of 'float'
715,flock,🐑,👥,Sheep and Busts in Silhouette evoke the core meaning or feeling behind 'flock'
716,floor,🪵,🏠,Wood and House Building evoke the core meaning or feeling behind 'floor'
717,flower,🌸,🌼,Cherry Blossom and Blossom evoke the core meaning or feeling behind 'flower'
718,fluid,💧,🧪,Droplet plus Test Tube form a recognizable group, reinforcing the idea of 'fluid'
719,flush,🚽,💦,Toilet and Splashing Sweat Symbol evoke the core meaning or feeling behind 'flush'
720,fly,🪰,✈,Fly and Airplane evoke the core meaning or feeling behind 'fly'
721,foam,🧴,🫧,Lotion Bottle and Bubbles evoke the core meaning or feeling behind 'foam'
722,focus,🎯,🔍,Direct Hit with Left-pointing Magnifying Glass together illustrate movement or relation, pointing to 'focus'
723,fog,🌫,🌁,Fog and Foggy evoke the core meaning or feeling behind 'fog'
724,foil,🧻,✨,Roll of Paper and Sparkles evoke the core meaning or feeling behind 'foil'
725,fold,📄,➖,Page Facing Up with Heavy Minus Sign together illustrate movement or relation, pointing to 'fold'
726,follow,👣,↪,Footprints with Rightwards Arrow with together illustrate movement or relation, pointing to 'follow'
727,food,🍲,🍎,Pot of Food and Red Apple evoke the core meaning or feeling behind 'food'
728,foot,🦶,👣,Foot and Footprints evoke the core meaning or feeling behind 'foot'
729,force,💪,⚔,Flexed Biceps with Crossed Swords together illustrate movement or relation, pointing to 'force'
730,forest,🌦,📊,White Sun Behind plus Bar Chart form a recognizable group, reinforcing the idea of 'forest'
731,forget,🧠,❌,Brain with Cross Mark together illustrate movement or relation, pointing to 'forget'
732,fork,🍴,🍴,Fork and Knife and Fork and Knife evoke the core meaning or feeling behind 'fork'
733,fortune,🍀,💰,Four Leaf Clover plus Money Bag form a recognizable group, reinforcing the idea of 'fortune'
734,forum,🏛,🗣,Classical Building and Speaking Head in evoke the core meaning or feeling behind 'forum'
735,forward,➡,📈,Black Rightwards Arrow with Chart with Upwards together illustrate movement or relation, pointing to 'forward'
736,fossil,🦴,🪨,Bone and Rock evoke the core meaning or feeling behind 'fossil'
737,foster,🤲,👶,Palms Up Together with Baby together illustrate movement or relation, pointing to 'foster'
738,found,🧭,📍,Compass with Round Pushpin together illustrate movement or relation, pointing to 'found'
739,fox,🦊,🦊,Fox Face plus Fox Face form a recognizable group, reinforcing the idea of 'fox'
740,fragile,🥂,⚠,Clinking Glasses and Warning Sign evoke the core meaning or feeling behind 'fragile'
741,frame,🖼,📐,Frame with Picture and Triangular Ruler evoke the core meaning or feeling behind 'frame'
742,frequent,🔄,📅,Anticlockwise Downwards and with Calendar together illustrate movement or relation, pointing to 'frequent'
743,fresh,🥗,🌱,Green Salad and Seedling evoke the core meaning or feeling behind 'fresh'
744,friend,🤝,😊,Handshake and Smiling Face with evoke the core meaning or feeling behind 'friend'
745,fringe,🎭,✨,Performing Arts and Sparkles evoke the core meaning or feeling behind 'fringe'
746,frog,🐸,🐸,Frog Face and Frog Face evoke the core meaning or feeling behind 'frog'
747,front,⬆,🏠,Upwards Black Arrow with House Building together illustrate movement or relation, pointing to 'front'
748,frost,❄,☃,Snowflake plus Snowman form a recognizable group, reinforcing the idea of 'frost'
749,frown,🙁,👎,Slightly Frowning Face with Thumbs Down Sign together illustrate movement or relation, pointing to 'frown'
750,frozen,🧊,❄,Ice Cube plus Snowflake form a recognizable group, reinforcing the idea of 'frozen'
751,fruit,🍎,🍌,Red Apple and Banana evoke the core meaning or feeling behind 'fruit'
752,fuel,⛽,🛢,Fuel Pump and Oil Drum evoke the core meaning or feeling behind 'fuel'
753,fun,🎉,😂,Party Popper and Face with Tears evoke the core meaning or feeling behind 'fun'
754,funny,🤣,🎭,Rolling on the and Performing Arts evoke the core meaning or feeling behind 'funny'
755,furnace,🔥,🏭,Fire plus Factory form a recognizable group, reinforcing the idea of 'furnace'
756,fury,😡,🔥,Pouting Face plus Fire form a recognizable group, reinforcing the idea of 'fury'
757,future,🔮,📅,Crystal Ball and Calendar evoke the core meaning or feeling behind 'future'
758,gadget,⚙️,📱,Gear plus Mobile Phone form a recognizable group, reinforcing the idea of 'gadget'
759,gain,📈,💰,Chart with Upwards with Money Bag together illustrate movement or relation, pointing to 'gain'
760,galaxy,🌌,✨,Milky Way and Sparkles evoke the core meaning or feeling behind 'galaxy'
761,gallery,🖼,🏛,Frame with Picture and Classical Building evoke the core meaning or feeling behind 'gallery'
762,game,🎮,🎲,Video Game and Game Die evoke the core meaning or feeling behind 'game'
763,gap,🌉,🕳,Bridge At Night with Hole together illustrate movement or relation, pointing to 'gap'
764,garage,🏠,🚙,House Building and Recreational Vehicle evoke the core meaning or feeling behind 'garage'
765,garbage,🗑,🚮,Wastebasket and Put Litter in evoke the core meaning or feeling behind 'garbage'
766,garden,🍅,🌸,Tomato and Cherry Blossom evoke the core meaning or feeling behind 'garden'
767,garlic,🧄,🧄,Garlic and Garlic evoke the core meaning or feeling behind 'garlic'
768,garment,👕,👗,T-shirt and Dress evoke the core meaning or feeling behind 'garment'
769,gas,⛽,💨,Fuel Pump and Dash Symbol evoke the core meaning or feeling behind 'gas'
770,gasp,😮,💨,Face with Open and Dash Symbol evoke the core meaning or feeling behind 'gasp'
771,gate,🚪,🚪,Door and Door evoke the core meaning or feeling behind 'gate'
772,gather,👥,📦,Busts in Silhouette and Package evoke the core meaning or feeling behind 'gather'
773,gauge,📏,⚡,Straight Ruler and High Voltage Sign evoke the core meaning or feeling behind 'gauge'
774,gaze,👀,➡,Eyes with Black Rightwards Arrow together illustrate movement or relation, pointing to 'gaze'
775,general,🎖️,🪖,Military Medal and Military Helmet evoke the core meaning or feeling behind 'general'
776,genius,🧠,💡,Brain plus Electric Light Bulb form a recognizable group, reinforcing the idea of 'genius'
777,genre,🎶,📚,Multiple Musical Notes and Books hint at sound or naming cues associated with 'genre'
778,gentle,🤲,🕊,Palms Up Together with Dove of Peace together illustrate movement or relation, pointing to 'gentle'
779,genuine,💎,💎,Gem Stone and Gem Stone evoke the core meaning or feeling behind 'genuine'
780,gesture,🤌,🤝,Pinched Fingers and Handshake evoke the core meaning or feeling behind 'gesture'
781,ghost,👻,👻,Ghost and Ghost evoke the core meaning or feeling behind 'ghost'
782,giant,🗿,📏,Moyai and Straight Ruler evoke the core meaning or feeling behind 'giant'
783,gift,🎁,🎁,Wrapped Present and Wrapped Present evoke the core meaning or feeling behind 'gift'
784,giggle,🤭,🤭,Smiling Face with and Smiling Face with evoke the core meaning or feeling behind 'giggle'
785,ginger,🫚,🫚,Symbol and Symbol evoke the core meaning or feeling behind 'ginger'
786,giraffe,🦒,🦒,Giraffe Face and Giraffe Face evoke the core meaning or feeling behind 'giraffe'
787,girl,👧,👧,Girl and Girl evoke the core meaning or feeling behind 'girl'
788,give,🤲,🎁,Palms Up Together with Wrapped Present together illustrate movement or relation, pointing to 'give'
789,glad,😀,👍,Grinning Face with Thumbs Up Sign together illustrate movement or relation, pointing to 'glad'
790,glance,👀,⏱,Eyes and Stopwatch evoke the core meaning or feeling behind 'glance'
791,glare,👀,⚡,Eyes and High Voltage Sign evoke the core meaning or feeling behind 'glare'
792,glass,🫙,🍷,Jar and Wine Glass evoke the core meaning or feeling behind 'glass'
793,glide,🪂,🪂,Parachute and Parachute evoke the core meaning or feeling behind 'glide'
794,glimpse,👀,🔦,Eyes and Electric Torch evoke the core meaning or feeling behind 'glimpse'
795,globe,🌍,🌍,Earth Globe Europe-africa and Earth Globe Europe-africa evoke the core meaning or feeling behind 'globe'
796,gloom,🌫,😞,Fog and Disappointed Face evoke the core meaning or feeling behind 'gloom'
797,glory,🏆,✨,Trophy and Sparkles evoke the core meaning or feeling behind 'glory'
798,glove,🧤,🧤,Gloves and Gloves evoke the core meaning or feeling behind 'glove'
799,glow,✨,🌟,Sparkles and Glowing Star evoke the core meaning or feeling behind 'glow'
800,glue,🧴,🩹,Lotion Bottle and Adhesive Bandage evoke the core meaning or feeling behind 'glue'
801,goat,🐐,🐐,Goat and Goat evoke the core meaning or feeling behind 'goat'
802,goddess,👑,👸,Crown and Princess evoke the core meaning or feeling behind 'goddess'
803,gold,🥇,💰,First Place Medal and Money Bag evoke the core meaning or feeling behind 'gold'
804,good,🌬️,💖,Wind Blowing Face and Sparkling Heart evoke the core meaning or feeling behind 'good'
805,goose,🪿,🪿,Symbol and Symbol evoke the core meaning or feeling behind 'goose'
806,gorilla,🦍,🦍,Gorilla and Gorilla evoke the core meaning or feeling behind 'gorilla'
807,gospel,📖,✝,Open Book with Latin Cross together illustrate movement or relation, pointing to 'gospel'
808,gossip,🗣,👂,Speaking Head in and Ear evoke the core meaning or feeling behind 'gossip'
809,govern,🏛,⚖,Classical Building and Scales evoke the core meaning or feeling behind 'govern'
810,gown,👗,🎓,Dress and Graduation Cap evoke the core meaning or feeling behind 'gown'
811,grab,✋,👊,Raised Hand and Fisted Hand Sign evoke the core meaning or feeling behind 'grab'
812,grace,🙏,🕊,Person with Folded and Dove of Peace evoke the core meaning or feeling behind 'grace'
813,grain,🌾,🌾,Ear of Rice and Ear of Rice evoke the core meaning or feeling behind 'grain'
814,grant,✅,📜,White Heavy Check and Scroll evoke the core meaning or feeling behind 'grant'
815,grape,🍇,🍇,Grapes and Grapes evoke the core meaning or feeling behind 'grape'
816,grass,🌱,🌱,Seedling and Seedling evoke the core meaning or feeling behind 'grass'
817,gravity,🌍,⬇,Earth Globe Europe-africa with Downwards Black Arrow together illustrate movement or relation, pointing to 'gravity'
818,great,🌟,🏆,Glowing Star and Trophy evoke the core meaning or feeling behind 'great'
819,green,🟢,🟢,Large Green Circle and Large Green Circle evoke the core meaning or feeling behind 'green'
820,grid,🔲,📐,Black Square Button and Triangular Ruler evoke the core meaning or feeling behind 'grid'
821,grief,🥺,💔,Face with Pleading and Broken Heart evoke the core meaning or feeling behind 'grief'
822,grit,🪨,💪,Rock and Flexed Biceps evoke the core meaning or feeling behind 'grit'
823,grocery,🛒,🥦,Shopping Trolley and Broccoli evoke the core meaning or feeling behind 'grocery'
824,group,👥,🏘,Busts in Silhouette and House Buildings evoke the core meaning or feeling behind 'group'
825,grow,🌱,📈,Seedling with Chart with Upwards together illustrate movement or relation, pointing to 'grow'
826,grunt,🐗,💢,Boar and Anger Symbol evoke the core meaning or feeling behind 'grunt'
827,guard,🛡,🚷,Shield and No Pedestrians evoke the core meaning or feeling behind 'guard'
828,guess,❓,🤔,Black Question Mark and Thinking Face evoke the core meaning or feeling behind 'guess'
829,guide,🧭,📖,Compass with Open Book together illustrate movement or relation, pointing to 'guide'
